year,home_team,away_team,winner,tie,day,date,time,pts_win,pts_loss,yds_win,turnovers_win,yds_loss,turnovers_loss,home_team_name,home_team_city,away_team_name,away_team_city,kickoff_time,week_num,total,home,away,attendance,wins,loss,points_for,points_against,points_differential,margin_of_victory,strength_of_schedule,simple_rating,offensive_ranking,defensive_ranking,playoffs,sb_winner,home_score_diff,team_tier
2000,Tampa Bay Buccaneers,Chicago Bears,Tampa Bay Buccaneers,0,Sun,2000-09-10,1:01PM,41,0,327,0,165,4,Buccaneers,Tampa Bay,Bears,Chicago,2000-09-10 13:01:00,2,1080729,524775,555954,65569,10,6,388,269,119,7.4,-0.1,7.3,3.4,3.9,Playoffs,No Superbowl,41,Elite Offense
2000,Buffalo Bills,Green Bay Packers,Buffalo Bills,0,Sun,2000-09-10,1:01PM,27,18,309,1,274,3,Bills,Buffalo,Packers,Green Bay,2000-09-10 13:01:00,2,1098587,560695,537892,77722,8,8,315,350,-35,-2.2,2.2,0.0,0.5,-0.5,No Playoffs,No Superbowl,9,Elite Offense
2000,Baltimore Ravens,Jacksonville Jaguars,Baltimore Ravens,0,Sun,2000-09-10,1:02PM,39,36,331,2,421,4,Ravens,Baltimore,Jaguars,Jacksonville,2000-09-10 13:02:00,2,1062373,551695,510678,68843,12,4,333,165,168,10.5,-2.5,8.0,0.0,8.0,Playoffs,Won Superbowl,3,
2000,Philadelphia Eagles,New York Giants,New York Giants,0,Sun,2000-09-10,1:02PM,33,18,387,0,237,0,Eagles,Philadelphia,Giants,New York,2000-09-10 13:02:00,2,1039856,523531,516325,65530,11,5,351,245,106,6.6,-3.6,3.1,1.0,2.1,Playoffs,No Superbowl,-15,Elite Offense
2000,Tennessee Titans,Kansas City Chiefs,Tennessee Titans,0,Sun,2000-09-10,1:03PM,17,14,353,3,189,0,Titans,Tennessee,Chiefs,Kansas City,2000-09-10 13:03:00,2,1091274,547524,543750,68203,13,3,346,191,155,9.7,-1.3,8.3,1.5,6.8,Playoffs,No Superbowl,3,Elite Offense
2000,San Diego Chargers,New Orleans Saints,New Orleans Saints,0,Sun,2000-09-10,4:15PM,28,27,323,3,188,2,Chargers,San Diego,Saints,New Orleans,2000-09-10 16:15:00,2,981863,433459,548404,51300,1,15,269,440,-171,-10.7,2.6,-8.1,-3.7,-4.4,No Playoffs,No Superbowl,-1,
2000,San Francisco 49ers,Carolina Panthers,Carolina Panthers,0,Sun,2000-09-10,4:15PM,38,22,450,1,391,2,49ers,San Francisco,Panthers,Carolina,2000-09-10 16:15:00,2,1057954,541964,515990,66879,6,10,388,422,-34,-2.1,-1.7,-3.8,1.7,-5.5,No Playoffs,No Superbowl,-16,Elite Offense
2000,Seattle Seahawks,St. Louis Rams,St. Louis Rams,0,Sun,2000-09-10,4:15PM,37,34,476,1,338,3,Seahawks,Seattle,Rams,St. Louis,2000-09-10 16:15:00,2,1029085,508367,520718,64869,6,10,320,405,-85,-5.3,1.6,-3.7,-1.4,-2.3,No Playoffs,No Superbowl,-3,
2000,Detroit Lions,Washington Redskins,Detroit Lions,0,Sun,2000-09-10,4:16PM,15,10,244,2,333,4,Lions,Detroit,Redskins,Washington,2000-09-10 16:16:00,2,1140926,607076,533850,74159,9,7,307,307,0,0.0,1.4,1.4,-0.1,1.5,No Playoffs,No Superbowl,5,
2000,Denver Broncos,Atlanta Falcons,Denver Broncos,0,Sun,2000-09-10,4:16PM,42,14,407,0,186,3,Broncos,Denver,Falcons,Atlanta,2000-09-10 16:16:00,2,1140030,604042,535988,75466,11,5,485,369,116,7.3,-2.2,5.0,7.8,-2.7,Playoffs,No Superbowl,28,Elite Offense
2000,Arizona Cardinals,Dallas Cowboys,Arizona Cardinals,0,Sun,2000-09-10,8:35PM,32,31,322,1,330,2,Cardinals,Arizona,Cowboys,Dallas,2000-09-10 20:35:00,2,893926,387475,506451,66009,3,13,210,443,-233,-14.6,-0.7,-15.2,-7.2,-8.1,No Playoffs,No Superbowl,1,
2000,New York Jets,New England Patriots,New York Jets,0,Mon,2000-09-11,9:09PM,20,19,330,1,293,0,Jets,New York,Patriots,New England,2000-09-11 21:09:00,2,1145146,623711,521435,77687,9,7,321,321,0,0.0,3.5,3.5,1.4,2.2,No Playoffs,No Superbowl,1,Elite Offense
2000,Jacksonville Jaguars,Cincinnati Bengals,Jacksonville Jaguars,0,Sun,2000-09-17,1:02PM,13,0,241,1,233,4,Jaguars,Jacksonville,Bengals,Cincinnati,2000-09-17 13:02:00,3,991957,482510,509447,45653,7,9,367,327,40,2.5,-1.4,1.1,3.2,-2.1,No Playoffs,No Superbowl,13,Elite Offense
2000,Cleveland Browns,Pittsburgh Steelers,Cleveland Browns,0,Sun,2000-09-17,1:02PM,23,20,377,1,336,1,Browns,Cleveland,Steelers,Pittsburgh,2000-09-17 13:02:00,3,1057139,581544,475595,73018,3,13,161,419,-258,-16.1,1.5,-14.6,-9.1,-5.5,No Playoffs,No Superbowl,3,
2000,Green Bay Packers,Philadelphia Eagles,Green Bay Packers,0,Sun,2000-09-17,1:02PM,6,3,236,4,171,1,Packers,Green Bay,Eagles,Philadelphia,2000-09-17 13:02:00,3,1049602,478747,570855,59869,9,7,353,323,30,1.9,0.6,2.5,1.8,0.7,No Playoffs,No Superbowl,3,Elite Offense
2000,Carolina Panthers,Atlanta Falcons,Atlanta Falcons,0,Sun,2000-09-17,1:02PM,15,10,262,2,284,4,Panthers,Carolina,Falcons,Atlanta,2000-09-17 13:02:00,3,1095192,583489,511703,73025,7,9,310,310,0,0.0,-1.1,-1.1,-3.6,2.5,No Playoffs,No Superbowl,-5,
2000,St. Louis Rams,San Francisco 49ers,St. Louis Rams,0,Sun,2000-09-17,1:02PM,41,24,529,2,401,2,Rams,St. Louis,49ers,San Francisco,2000-09-17 13:02:00,3,1081368,528402,552966,65945,10,6,540,471,69,4.3,-1.2,3.1,12.6,-9.5,Playoffs,No Superbowl,17,Mid-Tier
2000,New York Jets,Buffalo Bills,New York Jets,0,Sun,2000-09-17,1:03PM,27,14,279,1,354,4,Jets,New York,Bills,Buffalo,2000-09-17 13:03:00,3,1145146,623711,521435,77884,9,7,321,321,0,0.0,3.5,3.5,1.4,2.2,No Playoffs,No Superbowl,13,Elite Offense
2000,Detroit Lions,Tampa Bay Buccaneers,Tampa Bay Buccaneers,0,Sun,2000-09-17,1:06PM,31,10,331,0,243,3,Lions,Detroit,Buccaneers,Tampa Bay,2000-09-17 13:06:00,3,1140926,607076,533850,76928,9,7,307,307,0,0.0,1.4,1.4,-0.1,1.5,No Playoffs,No Superbowl,-21,
2000,Chicago Bears,New York Giants,New York Giants,0,Sun,2000-09-17,3:16PM,14,7,409,1,228,1,Bears,Chicago,Giants,New York,2000-09-17 15:16:00,3,1080684,535552,545132,66944,5,11,216,355,-139,-8.7,2.4,-6.3,-6.4,0.1,No Playoffs,No Superbowl,-7,
2000,Oakland Raiders,Denver Broncos,Denver Broncos,0,Sun,2000-09-17,4:05PM,33,24,387,1,263,4,Raiders,Oakland,Broncos,Denver,2000-09-17 16:05:00,3,998655,462515,536140,62078,12,4,479,299,180,11.3,-1.5,9.7,8.0,1.8,Playoffs,No Superbowl,-9,Elite Offense
2000,Kansas City Chiefs,San Diego Chargers,Kansas City Chiefs,0,Sun,2000-09-17,4:05PM,42,10,349,1,187,2,Chiefs,Kansas City,Chargers,San Diego,2000-09-17 16:05:00,3,1115272,631365,483907,77604,7,9,355,354,1,0.1,0.6,0.6,0.1,0.6,No Playoffs,No Superbowl,32,Elite Offense
2000,Seattle Seahawks,New Orleans Saints,Seattle Seahawks,0,Sun,2000-09-17,4:15PM,20,10,295,1,263,0,Seahawks,Seattle,Saints,New Orleans,2000-09-17 16:15:00,3,1029085,508367,520718,59513,6,10,320,405,-85,-5.3,1.6,-3.7,-1.4,-2.3,No Playoffs,No Superbowl,10,
2000,New England Patriots,Minnesota Vikings,Minnesota Vikings,0,Sun,2000-09-17,4:15PM,21,13,315,2,267,1,Patriots,New England,Vikings,Minnesota,2000-09-17 16:15:00,3,1030594,482336,548258,60292,5,11,276,338,-62,-3.9,1.4,-2.5,-2.7,0.2,No Playoffs,No Superbowl,-8,
2000,Miami Dolphins,Baltimore Ravens,Miami Dolphins,0,Sun,2000-09-17,8:36PM,19,6,258,1,262,1,Dolphins,Miami,Ravens,Baltimore,2000-09-17 20:36:00,3,1118883,589909,528974,73464,11,5,323,226,97,6.1,1.0,7.1,0.0,7.1,Playoffs,No Superbowl,13,
